,ticker,change,change_percent,day_open,day_high,day_low,day_close,day_volume,day_vwap,ask,bid,timestamp,exchange,min_open,min_high,min_low,min_close,min_volume,prev_open,prev_high,prev_low,prev_close,prev_volume,prev_vwap
96,C:HKDSGD,-0.0001971000000000056,-0.11500040550625301,0.1710737,0.1713807,0.1709751,0.1711936,32,0.1711,0.1715959,0.1711936,1686512801000,48,0.1711936,0.1711936,0.1711936,0.1711936,1,0.1713031,0.1713974,0.1710737,0.1713907,4,0.1713
97,C:INRCHF,-6.642999999999927e-05,-0.6064097040158258,0.01094072,0.01094072,0.01088821,0.01088821,9,0.01092,0.01098062,0.01088821,1686512261000,48,0.01088821,0.01088821,0.01088821,0.01088821,1,0.01089324,0.01096253,0.01088972,0.01095464,185711,0.0109
98,C:CZKSEK,-0.0015380999999999867,-0.31279494208077,0.4910568,0.4910568,0.4901139,0.4901898,6,0.4905,0.4918431,0.4901898,1686512050000,48,0.4901898,0.4901898,0.4901898,0.4901898,1,0.4917279,0.4917279,0.4910568,0.4917279,3,0.4915
99,C:RUBUSD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.01209,0.01209,0.01209,0.01209,1,0.0121
100,C:BRLKRW,-2.676689999999951,-1.015362310484195,260.94251,260.94251,260.94251,260.94251,1,260.9425,261.5087,260.94251,1686469767000,48,260.94251,260.94251,260.94251,260.94251,1,263.07075,264.38738,261.70686,263.6192,340,262.7266
101,C:EGPZAR,-0.0013408999999999782,-0.22130922835880423,0.6055804,0.6055804,0.6043434,0.6045534,4,0.6048,0.6065504,0.6045534,1686512201000,48,0.6045534,0.6045534,0.6045534,0.6045534,1,0.6058943,0.6058943,0.6058943,0.6058943,1,0.6059
102,C:CZKCAD,-7.382999999999695e-05,-0.12198746881536826,0.06047861,0.06047861,0.06044878,0.06044878,8,0.06046,0.06051451,0.06044878,1686512711000,48,0.06044878,0.06044878,0.06044878,0.06044878,1,0.06052261,0.06052261,0.06052261,0.06052261,1,0.0605
103,C:PKRZAR,-8.580999999999173e-05,-0.1316789752211377,0.06506536,0.06508025,0.06497211,0.06508025,8,0.065,0.06534381,0.06508025,1686511690000,48,0.06508025,0.06508025,0.06508025,0.06508025,1,0.06516606,0.06516606,0.06516606,0.06516606,1,0.0652
104,C:NZDJPY,-0.22018100000001084,-0.2579592993202231,85.453139,85.453139,84.921,85.134757,3065,85.3981,85.50126,85.134757,1686512919000,48,85.134757,85.453139,85.081,85.134757,4,85.274039,85.483799,85.274039,85.354938,3684,85.4007
105,C:HKDBRL,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.6219796,0.6219796,0.6211466,0.6211466,2,0.6216
106,C:PKRUSD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.00346773,0.00346773,0.00346773,0.00346773,1,0.0035
107,C:PENGBP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.2177349,0.2177349,0.2177349,0.2177349,1,0.2177
108,C:JPYSAR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.02682919,0.02683881,0.02682919,0.02683881,2,0.0268
109,C:GBPCLP,0.0,0.0,991.6205,991.6205,989.16296,989.16296,4,990.3917,989.39906,989.16296,1686475101000,48,989.16296,989.16296,989.16296,989.16296,1,989.16296,991.6205,989.16296,989.16296,5,990.146
110,C:USDCHF,0.0,0.0,0.9032232,0.9032232,0.902828,0.902828,48,0.903,0.9033054,0.902828,1686477117000,48,0.9032232,0.9032232,0.902828,0.902828,2,0.9033,0.9033,0.902828,0.902828,115,0.903
111,C:GBPBMD,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1.2600108,1.2600108,1.2600108,1.2600108,1,1.26
112,C:TWDSEK,-0.0008637000000000228,-0.24544769409323397,0.3514074,0.3514074,0.3509695,0.3510239,5,0.3511,0.3522078,0.3510239,1686512050000,48,0.3510239,0.3510239,0.3510239,0.3510239,1,0.3532298,0.3532298,0.3514074,0.3518876,3,0.3522
