implied_volatility,open_interest,break_even_price,day_close,day_high,last_updated,day_low,day_open,day_change_percent,day_change,previous_close,day_volume,day_vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,option_symbol,delta,gamma,theta,vega,ask,ask_size,bid,bid_size,quote_last_updated,midpoint,conditions,exchange,price,sip_timestamp,size,change_to_break_even,underlying_last_updated,underlying_price,underlying_ticker
0.5785418603267115,331,22.13,,,1.6881552e+18,,,,,0.9,,,put,american,2023-07-28,100,23.0,,-0.32360124150137604,0.0970629301350383,-0.025122776163780267,0.024976260689328008,0.9,1,0.84,10,,0.87,[209],325.0,0.9,1.6881551970254088e+18,1.0,-2.19,,,
0.5794801937972662,1250,25.78,,,1.6881552e+18,,,,,0.83,,,call,american,2023-07-14,100,25.0,,0.4264312868680507,0.150701901353771,-0.04234015162123521,0.018228952955146194,0.8,52,0.76,11,,0.78,[209],322.0,0.83,1.6881551507419305e+18,3.0,1.46,,,
0.5799540307934009,32,21.205,,,1.6881552e+18,,,,,0.25,,,put,american,2023-07-21,100,21.5,,-0.15874722161044832,0.07445508227158922,-0.019720897585769094,0.013755387422505632,0.34,206,0.25,806,,0.295,[233],309.0,0.25,1.6881455850646932e+18,1.0,-3.12,,,
0.5800356138754229,78,25.28,,,1.6881552e+18,,,,,1.93,,,call,american,2023-07-21,100,23.5,,0.6340932048149365,0.11598873124926079,-0.03351961569173864,0.021776687014590033,1.91,629,1.65,143,,1.78,[209],307.0,1.93,1.688152549631342e+18,58.0,0.96,,,
0.5800682574046099,0,26.0,,,,,,,,,,,call,american,2024-10-18,100,13.0,,0.9157124470900272,0.009640312847371615,-0.003937651279815324,0.044460682404432496,15.0,193,11.0,240,,13.0,,,,,,1.68,,,
0.5801042849212127,12329,26.05,,,1.6881552e+18,,,,,1.04,,,call,american,2023-07-21,100,25.0,,0.45357299085987113,0.12186111882613988,-0.03462133096625648,0.022670689785487162,1.1,153,1.0,11,,1.05,[228],309.0,1.04,1.6881551421775613e+18,1.0,1.73,,,
0.5805299137932565,433,25.755,,,1.6881552e+18,,,,,1.27,,,call,american,2023-07-21,100,24.5,,0.5132074125490865,0.123611060793944,-0.03532078999424781,0.022375371092136366,1.34,427,1.17,16,,1.255,[209],307.0,1.27,1.688154810420595e+18,6.0,1.435,,,
0.581049400536631,49,20.565,,,1.687896e+18,,,,,0.6,,,put,american,2023-08-04,100,21.0,,-0.17238543305780935,0.06029150367081235,-0.01586051544418814,0.01768989001927322,0.54,20,0.33,298,,0.435,[209],313.0,0.6,1.68789476976e+18,1.0,-3.75,,,
0.5811104059256325,20,25.115,,,1.6881552e+18,,,,,2.9,,,call,american,2023-07-28,100,22.5,,0.7244590428158746,0.08822419495585831,-0.026229836998296934,0.02153478787413656,2.87,115,2.36,203,,2.615,[209],322.0,2.9,1.688153611661032e+18,1.0,0.795,,,
0.581405096602514,113,23.37,,,1.6881552e+18,,,,,1.08,,,put,american,2023-07-14,100,24.5,,-0.5007301059088446,0.15436619126752868,-0.04044230696168337,0.017991102233946503,1.24,14,1.02,312,,1.13,[209],313.0,1.08,1.6881545294835328e+18,5.0,-0.95,,,
0.5818002779957181,54,24.825,,,1.6873776e+18,,,,,10.85,,,call,american,2023-12-15,100,13.75,,0.958100801733013,0.00951647322273933,-0.004313678135334077,0.019385865147105084,11.6,221,10.55,2,,11.075,[209],304.0,10.85,1.687370090677e+18,9.0,0.505,,,
0.5819084935144587,7,24.925,,,1.6879824e+18,,,,,2.1,,,call,american,2023-07-21,100,22.5,,0.7461399766698313,0.09816883324654398,-0.029121986419952756,0.01852417464598464,2.64,365,2.21,6,,2.425,[232],312.0,2.1,1.68797092379e+18,1.0,0.605,,,
0.5827104085284144,1682,26.155,,,1.6881552e+18,,,,,2.39,,,call,american,2023-08-18,100,23.75,,0.5981284458101007,0.07630653793340245,-0.022693833581949114,0.03392929260950397,2.5,332,2.31,30,,2.405,[209],304.0,2.39,1.6881549007839217e+18,2.0,1.835,,,
0.5835939973910357,1269,22.87,,,1.6881552e+18,,,,,1.08,,,put,american,2023-07-21,100,24.0,,-0.4284353440690343,0.12114897285268934,-0.03184095227306945,0.022083169645775357,1.17,133,1.09,23,,1.13,[233],302.0,1.08,1.6881545431467215e+18,1.0,-1.45,,,
0.584731724012164,219,25.935,,,1.6881552e+18,,,,,2.15,,,call,american,2023-08-04,100,24.0,,0.5748920449016063,0.0919919904513392,-0.02716931032402182,0.028794022198690858,2.12,157,1.75,2,,1.935,[231],301.0,2.15,1.6881548891115267e+18,6.0,1.615,,,
0.5849697036023048,414,24.6,,,1.6881552e+18,,,,,2.61,,,call,american,2023-07-14,100,22.0,,0.8386229578776024,0.09275961716446683,-0.02819041617988313,0.01122657748792286,2.81,349,2.39,13,,2.6,[232],304.0,2.61,1.6881541555092198e+18,48.0,0.28,,,
0.5850211261398793,164,22.59,,,1.6881552e+18,,,,,0.85,,,put,american,2023-07-21,100,23.5,,-0.3681130846387915,0.11569217448932803,-0.03072498413551946,0.02178428502975435,0.96,21,0.86,11,,0.91,[209],313.0,0.85,1.6881543413985175e+18,1.0,-1.73,,,
